,Temp (C),Temp (F),Dew Point (C),Dew Point (F),Humidity (%),Wind Speed (km/h),Wind Speed (mph),Wind Gust (km/h),Wind Gust (mph),Wind Dir (Degrees),Wind Dir (Compass),Visibility (km),Visibility (miles),Pressure (mb),Pressure (in),Wind Chill (C),Wind Chill (F),Heat Index (C),Heat Index (F),Precipitation (mm),Precipitation (in),Weather Condition,Weather Icon,Fog Present (1/0),Rain Present (1/0),Snow Present (1/0),Hail Present (1/0),Thunder Present (1/0),Tornado Present (1/0),Month,Hour,Minute,day
51,2.8,37.0,-7.2,19.0,48.0,14.8,9.2,25.9,16.1,280,West,16.1,10.0,1016.5,30.02,-0.9,30.4,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,19,51,1
52,2.2,36.0,-7.2,19.0,50.0,11.1,6.9,33.3,20.7,290,WNW,16.1,10.0,1016.8,30.03,-0.9,30.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,20,51,1
53,1.7,35.1,-6.7,19.9,54.0,7.4,4.6,33.3,20.7,0,North,16.1,10.0,1016.6,30.02,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,21,51,1
54,1.7,35.1,-7.2,19.0,52.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1016.7,30.03,-1.1,30.1,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,22,51,1
55,1.7,35.1,-8.9,16.0,46.0,14.8,9.2,31.5,19.6,270,West,16.1,10.0,1016.8,30.03,-2.3,27.9,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,23,51,1
56,10.0,50.0,2.2,36.0,59.0,13.0,8.1,31.5,19.6,250,WSW,16.1,10.0,1008.0,29.77,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,0,51,2
57,10.0,50.0,1.7,35.1,57.0,9.3,5.8,33.3,20.7,260,West,16.1,10.0,1007.4,29.75,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,1,51,2
58,10.0,50.0,2.2,36.0,59.0,13.0,8.1,33.3,20.7,250,WSW,16.1,10.0,1007.1,29.74,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,2,51,2
59,10.0,50.0,1.7,35.1,57.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1006.6,29.73,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,3,51,2
60,10.0,50.0,2.2,36.0,59.0,13.0,8.1,33.3,20.7,260,West,16.1,10.0,1007.1,29.74,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,4,51,2
61,10.0,50.0,2.2,36.0,59.0,11.1,6.9,25.9,16.1,0,Variable,16.1,10.0,1007.1,29.74,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,5,51,2
62,9.4,48.9,2.2,36.0,61.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1007.9,29.77,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,6,51,2
63,10.0,50.0,2.2,36.0,59.0,13.0,8.1,33.3,20.7,240,WSW,16.1,10.0,1008.4,29.78,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,7,51,2
64,10.6,51.1,2.2,36.0,56.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1008.8,29.79,0.2,32.3,29.7,85.4,0.5,0.02,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0,1,8,51,2
65,11.1,52.0,2.8,37.0,57.0,11.1,6.9,33.3,20.7,250,WSW,16.1,10.0,1009.2,29.81,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,9,51,2
66,12.8,55.0,2.8,37.0,51.0,9.3,5.8,33.3,20.7,280,West,16.1,10.0,1009.0,29.8,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,10,51,2
67,13.9,57.0,3.3,37.9,49.0,7.4,4.6,33.3,20.7,0,North,16.1,10.0,1009.2,29.81,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,11,51,2
68,15.0,59.0,3.9,39.0,48.0,11.1,6.9,33.3,20.7,0,Variable,16.1,10.0,1008.7,29.79,0.2,32.3,29.7,85.4,0.5,0.02,Partly Cloudy,partlycloudy,0,0,0,0,0,0,1,12,51,2
69,14.4,57.9,3.9,39.0,49.0,11.1,6.9,33.3,20.7,0,Variable,16.1,10.0,1009.1,29.8,0.2,32.3,29.7,85.4,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0,1,13,51,2
70,13.3,55.9,2.8,37.0,49.0,5.6,3.5,33.3,20.7,0,Variable,16.1,10.0,1010.0,29.83,0.2,32.3,29.7,85.4,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0,1,14,51,2
71,11.7,53.1,1.1,34.0,48.0,11.1,6.9,31.5,19.6,0,Variable,8.0,5.0,1011.3,29.87,0.2,32.3,29.7,85.4,0.0,0.0,Light Rain,rain,0,1,0,0,0,0,1,15,51,2
72,11.1,52.0,0.0,32.0,47.0,5.6,3.5,33.3,20.7,350,North,16.1,10.0,1011.6,29.88,0.2,32.3,29.7,85.4,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0,1,16,51,2
73,11.1,52.0,-1.1,30.0,43.0,5.6,3.5,33.3,20.7,290,WNW,16.1,10.0,1013.2,29.92,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,1,17,51,2
74,10.6,51.1,-2.2,28.0,41.0,11.1,6.9,33.3,20.7,0,Variable,16.1,10.0,1013.8,29.94,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,1,18,51,2
75,10.0,50.0,-2.2,28.0,43.0,11.1,6.9,33.3,20.7,0,Variable,16.1,10.0,1014.9,29.97,0.2,32.3,29.7,85.4,0.0,0.0,Scattered Clouds,partlycloudy,0,0,0,0,0,0,1,19,51,2
76,8.9,48.0,-4.4,24.1,39.0,7.4,4.6,33.3,20.7,0,Variable,16.1,10.0,1016.1,30.01,0.2,32.3,29.7,85.4,0.5,0.02,Scattered Clouds,partlycloudy,0,0,0,0,0,0,1,20,51,2
77,8.3,46.9,-4.4,24.1,41.0,0.0,0.0,33.3,20.7,0,North,16.1,10.0,1016.3,30.01,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,21,51,2
78,7.8,46.0,-2.8,27.0,47.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1017.6,30.05,6.2,43.1,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,22,51,2
79,6.7,44.1,-3.9,25.0,47.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1018.6,30.08,4.9,40.8,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,23,51,2
80,8.9,48.0,-2.8,27.0,44.0,14.8,9.2,33.3,20.7,250,WSW,16.1,10.0,1014.4,29.96,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,0,51,3
81,7.8,46.0,-2.8,27.0,47.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1014.9,29.97,6.2,43.1,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,1,51,3
82,8.3,46.9,-2.8,27.0,46.0,13.0,8.1,29.6,18.4,260,West,16.1,10.0,1015.5,29.99,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,2,51,3
83,7.8,46.0,-2.8,27.0,47.0,7.4,4.6,33.3,20.7,0,Variable,16.1,10.0,1017.3,30.04,6.6,43.9,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,1,3,51,3
84,5.6,42.1,-2.8,27.0,55.0,5.6,3.5,33.3,20.7,0,Variable,16.1,10.0,1018.4,30.08,4.6,40.2,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,4,51,3
85,5.0,41.0,-4.4,24.1,51.0,13.0,8.1,33.3,20.7,310,NW,16.1,10.0,1019.4,30.11,2.1,35.8,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,5,51,3
86,4.4,39.9,-5.6,21.9,49.0,5.6,3.5,33.3,20.7,0,Variable,16.1,10.0,1020.1,30.13,3.2,37.8,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,6,51,3
87,3.9,39.0,-6.1,21.0,49.0,11.1,6.9,33.3,20.7,10,North,16.1,10.0,1021.3,30.16,1.1,34.0,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,7,51,3
88,3.9,39.0,-7.2,19.0,45.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1021.8,30.18,1.5,34.8,29.7,85.4,0.5,0.02,Scattered Clouds,partlycloudy,0,0,0,0,0,0,1,8,51,3
89,5.6,42.1,-9.4,15.1,34.0,14.8,9.2,33.3,20.7,40,NE,16.1,10.0,1022.2,30.19,2.5,36.6,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,9,51,3
90,6.7,44.1,-11.7,10.9,26.0,13.0,8.1,33.3,20.7,70,ENE,16.1,10.0,1021.2,30.16,4.2,39.5,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,10,51,3
91,8.3,46.9,-10.0,14.0,27.0,7.4,4.6,33.3,20.7,0,Variable,16.1,10.0,1020.4,30.14,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,11,51,3
92,9.4,48.9,-7.8,18.0,29.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1019.4,30.11,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,1,12,51,3
